,site_title,unitcost
0,"Говядина (кроме бескостного мяса), кг",382.33
1,"Свинина (кроме бескостного мяса), кг",322.21
2,"Баранина (кроме бескостного мяса), кг",441.14
3,"Куры охлажденные и мороженые, кг",140.1
4,"Рыба мороженая неразделанная, кг",243.52
5,"Сельдь соленая, кг",264.22
6,"Масло сливочное, кг",771.22
7,"Масло подсолнечное, кг",118.27
8,"Маргарин, кг",166.87
9,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",69.83
10,"Сметана, кг",251.34
11,"Творог нежирный, кг",316.54
12,"Сыры сычужные твердые и мягкие, кг",646.38
13,"Яйца куриные, 10 шт.",68.79
14,"Сахар-песок, кг",40.07
15,"Печенье, кг",224.93
16,"Карамель, кг",290.1
17,"Чай черный байховый, кг",1106.15
18,"Соль поваренная пищевая, кг",19.3
19,"Перец черный (горошек), кг",2456.24
20,"Мука пшеничная, кг",39.95
21,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",53.49
22,"Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов, кг",54.12
23,"Рис шлифованный, кг",89.3
24,"Пшено, кг",45.57
25,"Горох и фасоль, кг",91.29
26,"Вермишель, кг",100.81
27,"Картофель, кг",35.18
28,"Капуста белокочанная свежая, кг",34.71
29,"Лук репчатый, кг",29.13
30,"Морковь, кг",49.56
31,"Огурцы свежие, кг",130.11
32,"Яблоки, кг",122.48
